date | value
2011-01-03 | 3
2011-01-03 | 2
2009-01-02 | 10.5
2009-01-02 | 11
2012-07-04 | 12.6
2009-01-06 | 11.8
2009-01-07 | 13.2
2009-01-08 | 13.5
2009-01-09 | 14.1
2009-01-12 | 14.8
2009-01-13 | 14.2
2009-01-14 | 15.7
2009-01-15 | 15.4
2009-01-16 | 16.2
2009-01-17 | 11.3
2009-01-18 | 12.4
2009-01-19 | 12.7
2009-01-20 | 14.5
2009-01-21 | 12.9
2009-01-22 | 10.9
2009-01-23 | 13.6
2009-01-24 | 16.4
2009-01-25 | 13.9
2009-01-26 | 16.2
2009-01-27 | 10.6
2009-01-28 | 10.8
2009-01-29 | 12.3
2009-02-01 | 15.6
2009-02-04 | 11.7
2009-02-07 | 14.2
2009-02-10 | 16.8
2009-02-13 | 10.2
2009-02-16 | 10.1
2009-02-19 | 14.9
2009-02-22 | 15.8
2009-02-25 | 13.1
2009-02-28 | 10.3
2009-03-03 | 16.1
2009-03-06 | 12.8
2009-03-09 | 11.2
2009-03-12 | 12.1
2009-03-15 | 16.3
2009-03-18 | 13.7
